JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
102,1.1410558290282746,1.0672146312495339,1.1623241225440468,0.2897206315664863,0.14282911312165844,0.03208752238944276,0.0013279630733574136,36.24654307499044,18.42299181495223,1.5216971621445547,35.813545111539824,36.5743936926121,2.5,96.51515507698059
103,1.3581420161590847,0.9500051691989577,1.7758751445078422,0.2526380674626714,0.10108542509347475,0.05069866170901144,0.0013468781328939124,38.14516382728037,20.745896230046426,1.5959547216263914,40.44728212054529,41.24525948135849,2.5,97.28995609283447
104,1.1313406632261096,0.9097286946598091,1.8667374677733617,0.34868573003933256,0.11918876980440436,0.03512034778607643,0.0013113373647493291,0.07430987559722269,18.354759679985808,1.4174597809012686,35.781470519447446,36.49020040989808,2.5,101.48697566986084
105,1.1043238813610168,1.0958192719507431,1.5317197407178693,0.2742952116395211,0.12465076163558546,0.04122560823829197,0.0013139300398066884,39.514354707040766,20.857009946574845,1.531117284312311,40.74677980030011,41.51233844245627,2.5,99.20722699165344
106,1.1035813571823598,0.9149037889109345,2.224892006151384,0.279087989205296,0.17319393148342468,0.05012202650849781,0.0014556633744822508,0.0337219945560463,19.77841463253761,1.6594661258287293,38.42658484067113,39.2563179035855,2.5,98.12638998031616
107,1.4290872271611534,1.0185441956242471,2.472179727608448,0.29708532949885663,0.15961477859318457,0.062458099792744665,0.0014871407665441796,0.08073267375108273,24.21786205829462,1.8085028629986832,47.26884301722865,48.17309444872799,2.5,96.58889675140381
108,1.3326361195243748,0.9549504296048335,2.4600314490810296,0.2871908147348319,0.11443225241533782,0.044905337997166846,0.001303329952685937,0.13283440352420683,21.030855098603443,1.5320979500365897,41.09468199232891,41.8607309673472,2.5,99.07611775398254
109,1.2713986894829516,1.048377025279065,1.093674148917958,0.3953086294517399,0.14980173281310588,0.040820743752107695,0.0014531137221692634,0.11156780706205183,16.859923168097986,1.4870252990310613,32.6802022707501,33.42371492026563,2.5,98.97052717208862
110,1.0992033082190258,1.0296130476480139,2.5374648159164197,0.33809239035101446,0.15095724795827914,0.04520103887276922,0.0014294266514892286,38.97123917461309,16.7646644324462,1.5045591376791296,32.46761642835757,33.219895997197135,2.5,97.53391742706299
111,1.5663367648127346,1.0081598353417642,1.012955007815111,0.2513892179545478,0.15126253695770125,0.06939631695779275,0.0014063114307743844,40.871493329226105,12.593682362071323,2.110636432357481,23.37746347108149,24.43278168726023,2.5,99.32324290275574
112,0.9396311919294077,0.999520029207649,2.53614973545649,0.2686278528935863,0.10503928512477018,0.031870337597987415,0.0013073335189936074,37.0772693313957,15.768784518983766,1.42116604794601,30.53603434339811,31.246617367371115,2.5,97.66943693161011
113,1.255504639276382,0.9877034296341428,0.8649418093398602,0.3951623228712394,0.16352353864526153,0.07676231513962763,0.0014621624202618803,38.597078518466255,15.733304503929658,1.5533535232652758,30.321823358747636,31.098500120380272,2.5,103.28686308860779
114,1.0441586403058678,0.9948839416015556,1.1313332383233226,0.3476491691819756,0.1554969346067375,0.0396215411663017,0.0014472095235643298,34.07059463675495,19.007089573052692,1.4744346507052708,37.05309157130125,37.79030889665389,2.5,97.26460576057434
115,1.1636439350330892,0.9661463096314854,1.6052998570718047,0.378133752972855,0.18381884559941003,0.08407153826584983,0.0013124855166799048,0.011198060576766977,23.825712680707074,1.606635780395309,46.695582961948794,47.49890085214645,2.5,97.71868896484375
